"id";"Nome";"RG";"CPF";"endereco_fk"
388;"Davi  Guimarães   Castro";"515188865";"14.153.541.6-75";106
389;"José Arake Mesquita";"735834075";"14.990.478.4-67";37
390;"Marcelo Calado Almeida";"160565228";"05.016.108.8-82";142
391;"Sophia  Castro Mesquita";"908610932";"03.138.156.0-53";154
392;"José Palmito  Brasil";"163993307";"17.860.919.5-45";139
393;"Heloísa Mesquita  Cardoso";"368123285";"08.603.120.4-67";123
394;"Ronaldo  Souza  Guimarães ";"039587165";"29.106.122.8-94";126
395;"Guilherme Calado  Cardoso";"342054581";"13.468.685.2-42";116
396;"Luiza Silva  Magalhães ";"845837486";"57.357.567.8-76";177
397;"Alice Kubitcheck  Macedo";"305479230";"28.070.693.7-19";83
398;"Maria Julia  Teixeira  Ribeiro";"568044112";"62.054.345.0-39";43
399;"Lucas  Guimarães   Campos";"398236755";"40.671.048.9-72";92
400;"Gabriela Calado Calado";"950013783";"12.913.994.5-24";12
401;"Vanessa Sequeira Rodrigues";"398797819";"35.691.953.5-31";74
402;"Vanessa  Teixeira Palmito";"721709121";"66.274.454.7-54";34
403;"Marcela Rodrigues  Costa";"618898981";"22.087.800.8-86";37
404;"Lucas  Ribeiro Kubitcheck";"027861881";"28.512.920.2-77";59
405;"Tamires Palmito  Siqueira";"456644645";"61.594.921.7-12";49
406;"João Miguel  Souza  Matos";"319104927";"81.858.636.3-12";12
407;"Theo Silva  Campos";"880187852";"98.969.057.2-14";159
408;"Aline Aparecido  Fontes ";"396408900";"06.900.602.5-47";150
409;"Eduardo Pinhais Pinhais";"330854094";"37.293.378.7-87";132
410;"Valentina  Correia Rodrigues";"789728284";"30.312.908.1-73";101
411;"João Miguel  Rocha Calado";"997020083";"67.207.923.6-07";152
412;"Luiza  Souza Palmito";"364898921";"69.902.163.2-18";69
413;"Marcela Palmito Calado";"581066981";"82.230.238.5-14";24
414;"Samuel  Guimarães  Calado";"234941219";"88.502.321.6-58";15
415;"Arthur  Braga Aparecido";"110202978";"99.376.009.1-29";131
416;"Marcelo  Macedo  Fontes ";"569027893";"65.689.433.8-78";152
417;"Karla  Azevedo  Bahiense";"218892356";"25.088.065.2-54";180
418;"Maria Sequeira  Cardoso";"896495472";"58.143.584.3-02";40
419;"Laura  Macedo  Braga";"882487788";"46.881.805.6-08";20
420;"Laura Pinhais  Azevedo";"983437891";"60.234.994.8-90";179
421;"Eduardo Almeida Pinhais";"537267494";"01.646.751.8-81";39
422;"Maria Julia  Pedreira  Cardoso";"533090819";"26.062.292.0-14";169
423;"Maria  Fontes  Calado";"852966791";"00.239.548.8-86";58
424;"Maria Clara  Matos  Matos";"003984372";"17.537.979.6-70";102
425;"Guilherme Kubitcheck Mesquita";"109314289";"17.118.038.2-40";174
426;"Samuel  Teixeira  Queirós";"487563599";"20.904.804.0-08";164
427;"Viviane Kubitcheck  Souza";"899280586";"79.951.204.4-55";163
428;"Marcela Oliveira  Correia";"188713982";"36.987.542.7-25";135
429;"Arthur  Rocha Arake";"660043934";"42.944.356.3-04";56
430;"Tamires Arake  Costa";"794888558";"41.043.791.3-26";169
431;"Tamires  Costa  Costa";"899630583";"93.443.566.9-86";187
432;"Gael Palmito  Castro";"837618737";"56.339.183.0-69";56
433;"Marcela  Souza  Cardoso";"067262738";"77.197.906.4-52";94
434;"Tamires  Serra  Macedo";"974794375";"49.707.268.7-44";131
435;"Miguel Rodrigues  Bahiense";"289735664";"43.921.200.9-05";91
436;"Marcela  Pedreira Mesquita";"082358075";"33.905.650.4-30";56
437;"Heloísa Sequeira  Magalhães ";"124272606";"69.510.383.2-37";16
438;"Arthur Palmito  Macedo";"094274361";"41.901.680.7-41";171
439;"Vanessa  Pedreira  Barros";"783157668";"24.963.102.8-98";27
440;"Miguel  Ribeiro Pinhais";"836735590";"97.662.112.0-65";37
441;"Valentina  Costa  Teixeira";"813583694";"06.227.435.2-18";163
442;"Miguel  Macedo  Serra";"054282568";"88.146.518.6-03";53
443;"Viviane  Campos Calado";"355404930";"85.358.696.5-69";174
444;"Sophia  Ribeiro  Guimarães ";"537853039";"18.486.687.7-33";22
445;"Laura  Siqueira  Serra";"015782212";"43.458.209.7-23";124
446;"Maria Clara Calado  Serra";"628488946";"16.896.022.3-96";193
447;"Karla  Cardoso  Magalhães ";"118879610";"06.546.331.9-67";102
448;"Helena  Barros  Serra";"564032109";"92.153.775.6-09";121
449;"Luiza Pinhais  Serra";"298355766";"13.691.722.0-94";69
450;"Helena  Bahiense  Correia";"126090314";"06.173.997.1-91";112
451;"Arthur Kubitcheck  Matos";"427320373";"22.826.680.3-94";100
452;"Samuel  Teixeira  Braga";"643892602";"49.307.997.2-01";91
453;"Gabriel Kubitcheck  Ribeiro";"126874917";"14.939.644.0-95";80
454;"Ana  Pedreira  Serra";"945792924";"05.961.931.6-07";140
455;"Ana  Barros Pinhais";"955690214";"52.145.221.9-91";124
456;"José Palmito  Pedreira";"411238237";"30.027.238.4-36";153
457;"Davi  Brasil Mesquita";"201049802";"42.412.127.4-66";168
458;"Miguel  Braga Kubitcheck";"064752765";"28.240.403.5-18";10
459;"Bernardo Martins  Souza";"760232822";"34.195.168.4-04";103
460;"Marcelo Aparecido Calado";"016649970";"29.410.777.9-02";24
461;"Helena Aparecido  Queirós";"384970092";"38.599.751.3-44";170
462;"Lucas  Correia  Barros";"125937708";"71.100.868.3-26";198
463;"Maria Alice  Siqueira  Rocha";"718199880";"97.860.915.7-33";128
464;"Maria Clara  Fontes   Pedreira";"960604613";"94.226.473.3-84";62
465;"Tamires Pinhais  Queirós";"497729096";"17.590.110.4-23";187
466;"Maria Cecília  Bahiense  Correia";"667951377";"64.469.132.4-08";59
467;"Luiza  Braga  Correia";"640215831";"75.929.894.5-67";176
468;"Gael Palmito  Braga";"430776121";"98.867.336.9-65";170
469;"Davi dos Santos  Cardoso";"800158602";"44.122.458.0-75";75
470;"Marcelo Arake  Azevedo";"510471440";"03.895.845.8-65";103
471;"Heloísa Mesquita  Braga";"065864363";"47.810.493.4-93";144
472;"Vanessa  Matos Silva";"213676134";"85.179.018.9-94";58
473;"Aline  Fontes  Pinhais";"442195354";"11.623.946.2-76";156
474;"Karla  Souza  Serra";"565159582";"55.790.932.4-66";186
475;"Theo  Correia  Costa";"327661333";"01.192.347.3-01";6
476;"Ronaldo  Pedreira Arake";"293407315";"23.911.489.7-05";139
477;"Tamires  Braga  Guimarães ";"961143448";"25.780.194.8-51";153
478;"Aline  Magalhães   Fontes ";"686896603";"40.956.074.4-29";78
479;"Marcelo Sequeira  Guimarães ";"513193376";"91.385.207.1-16";126
480;"Maria Clara Kubitcheck  Souza";"853737173";"08.499.240.8-18";63
481;"Eduardo  Ribeiro  Rocha";"064176827";"03.742.994.3-65";100
482;"Arthur  Ribeiro  Fontes ";"901555749";"28.415.409.5-17";102
483;"Heitor Palmito  Costa";"033543257";"33.377.632.1-97";50
484;"Thiago  Queirós  Campos";"009456941";"51.775.779.5-22";18
485;"Gabriela  Bahiense Rodrigues";"292261654";"02.851.956.2-06";79
486;"Maria Julia  Rocha  Braga";"860333543";"79.285.653.8-54";143
487;"Marcelo  Magalhães   Cardoso";"141010850";"24.271.740.5-02";148
488;"Theo  Azevedo Silva";"928175853";"97.694.665.0-28";167
489;"Tamires  Siqueira  Rocha";"440790641";"03.871.168.0-22";127
490;"Marcelo Palmito  Macedo";"104216986";"16.654.115.9-72";103
491;"Maria Cecília Calado Arake";"357777135";"69.887.354.6-74";79
492;"Maria  Queirós  Braga";"894074668";"47.717.756.5-59";162
493;"Maria Julia Oliveira  Siqueira";"355831731";"44.949.747.2-15";97
494;"Theo  Queirós  Cardoso";"884069262";"66.085.724.1-35";64
495;"Valentina Mesquita  Brasil";"423642773";"95.688.845.9-55";150
496;"Maria Julia  Souza  Campos";"755456461";"01.597.504.9-01";156
497;"Guilherme Kubitcheck  Barros";"556323398";"38.388.515.8-62";22
498;"Marcelo  Bahiense  Brasil";"064311314";"85.848.793.9-16";37
499;"João Miguel  Azevedo  Fontes ";"723323281";"06.316.001.9-55";37
500;"Heloísa Kubitcheck Mesquita";"555838227";"06.040.418.4-41";159
501;"Viviane  Barros  Rocha";"836727779";"58.496.565.8-89";154
502;"Tamires  Siqueira  Brasil";"922975059";"76.037.617.0-46";77
503;"Arthur  Cardoso  Brasil";"731303604";"10.403.503.8-92";81
504;"Bernardo  Azevedo Aparecido";"278335734";"82.865.150.1-56";148
505;"Maria Clara  Campos Arake";"035075209";"97.520.541.1-37";29
506;"Miguel  Magalhães   Magalhães ";"059473826";"00.336.124.3-31";37
507;"Davi  Queirós  Guimarães ";"854131708";"33.177.816.5-15";62
508;"Maria Cecília Aparecido  Macedo";"341088972";"03.278.319.7-29";96
509;"Laura  Correia Calado";"842589744";"12.771.566.7-67";171
510;"Vanessa  Queirós  Queirós";"862045314";"97.022.777.3-15";137
511;"Lucas Martins  Teixeira";"389427637";"92.085.077.8-86";13
512;"Marcelo  Guimarães  Almeida";"011053517";"77.719.889.9-00";24
513;"Helena Mesquita  Barros";"439246291";"00.998.274.6-94";190
514;"José dos Santos  Bahiense";"537041349";"21.701.348.4-80";155
515;"Laura  Costa  Costa";"424377134";"38.692.965.7-13";55
516;"Ana  Matos Aparecido";"217110506";"20.656.968.3-79";62
517;"Laura  Siqueira Pinhais";"930149793";"59.113.853.2-62";184
518;"Bernardo  Ribeiro Rodrigues";"983500825";"08.086.714.0-64";155
519;"Maria Alice  Barros Mesquita";"140873803";"18.305.846.8-05";56
520;"Arthur  Guimarães   Castro";"293225896";"64.553.135.6-71";130
521;"Samuel dos Santos  Ribeiro";"820575724";"12.382.674.1-73";159
522;"Ana  Macedo  Rocha";"241309144";"85.402.945.2-24";115
523;"Thiago  Siqueira  Barros";"231807721";"20.532.924.2-11";159
524;"Tamires  Matos  Siqueira";"632274897";"15.007.368.6-83";153
525;"Gabriel Arake  Azevedo";"197391077";"70.195.624.4-80";62
526;"Tamires  Brasil  Rocha";"583188147";"00.329.361.6-96";102
527;"José  Campos  Matos";"964922461";"07.979.708.3-92";6
528;"Heitor  Souza Arake";"106623450";"00.606.137.4-83";51
529;"Gabriela Kubitcheck dos Santos";"667451646";"35.817.211.0-28";117
530;"Ana  Guimarães   Magalhães ";"468028848";"36.286.665.3-40";127
531;"Arthur Almeida  Cardoso";"219994919";"61.491.818.5-34";189
532;"Vanessa  Costa Aparecido";"173652596";"86.509.595.6-23";123
533;"Maria Julia  Magalhães   Barros";"405213833";"51.634.584.7-93";181
534;"Bernardo  Siqueira  Pedreira";"107797641";"70.909.954.7-10";39
535;"João Miguel  Bahiense  Correia";"066197987";"55.871.900.3-05";6
536;"Maria Clara  Queirós Aparecido";"615837918";"75.324.529.3-75";187
537;"Tamires  Cardoso  Siqueira";"996833736";"61.088.735.1-28";3
538;"Gabriela Kubitcheck Almeida";"195110904";"14.165.555.6-30";150
539;"Heitor Almeida  Campos";"741759344";"85.740.250.8-18";106
540;"Luiza Silva Mesquita";"061923688";"24.835.932.6-63";74
541;"João Miguel Rodrigues  Bahiense";"236812102";"89.918.275.9-18";21
542;"Guilherme  Bahiense  Bahiense";"850772629";"80.912.390.2-88";87
543;"Maria Pinhais  Rocha";"225559442";"70.457.438.3-66";170
544;"Gabriela  Guimarães   Castro";"128748453";"64.146.746.3-21";97
545;"Ana  Teixeira  Campos";"767235490";"27.040.487.6-18";181
546;"Gabriel Oliveira  Serra";"153267137";"75.580.581.5-82";147
547;"Valentina  Macedo  Serra";"585144674";"95.439.819.9-12";116
548;"Tamires  Campos  Braga";"893238815";"49.197.400.2-18";58
549;"Marcelo  Barros  Costa";"815646999";"40.756.630.5-96";199
550;"Arthur Palmito Arake";"141908836";"73.545.989.1-20";41
551;"Valentina Calado  Queirós";"126216056";"96.065.294.9-06";61
552;"Thiago  Pedreira Rodrigues";"783503965";"21.587.787.2-88";65
553;"Alice Oliveira  Braga";"307711721";"92.768.066.8-90";89
554;"Helena  Souza Mesquita";"190827620";"45.142.881.4-15";25
555;"Laura Rodrigues  Serra";"824873662";"32.817.797.6-18";56
556;"Arthur  Castro  Bahiense";"775545189";"99.770.269.1-19";134
557;"Helena  Magalhães   Bahiense";"606929831";"61.401.041.8-25";43
558;"Marcelo  Braga  Guimarães ";"907888162";"46.747.737.1-36";14
559;"Raquel  Campos  Fontes ";"710455039";"09.073.676.2-84";179
560;"Valentina  Castro Calado";"535873799";"08.443.813.6-05";102
561;"Karla  Magalhães   Guimarães ";"758070040";"60.054.222.1-71";82
562;"Bernardo  Magalhães   Bahiense";"272372733";"62.136.216.5-11";136
563;"Marcela Mesquita  Ribeiro";"133759113";"01.509.691.0-65";53
564;"Ronaldo  Guimarães   Costa";"314610546";"59.587.995.9-06";153
565;"Aline  Macedo  Siqueira";"435498286";"23.051.267.4-52";168
566;"Samuel  Matos  Cardoso";"856162801";"11.668.041.1-87";144
567;"Marcela Kubitcheck dos Santos";"595808170";"23.341.214.2-83";28
568;"Davi  Correia  Castro";"146791462";"96.482.179.9-43";75
569;"Karla  Campos Calado";"028335884";"74.393.039.4-10";57
570;"Raquel Almeida Rodrigues";"908341314";"63.895.770.0-12";44
571;"Laura Oliveira  Matos";"349320286";"22.270.352.2-22";27
572;"Karla  Magalhães  Almeida";"110127331";"95.696.240.9-03";171
573;"Lucas  Azevedo Arake";"257911554";"40.736.900.4-98";52
574;"Miguel  Ribeiro  Serra";"539565900";"17.373.633.0-12";98
575;"Marcela  Ribeiro Calado";"177253295";"38.079.898.9-07";101
576;"Lucas  Ribeiro  Costa";"049294025";"94.524.625.5-58";98
577;"Tamires Rodrigues  Braga";"966699261";"59.182.271.1-27";169
578;"Gabriela dos Santos Palmito";"869205132";"95.151.318.1-55";135
579;"Lucas dos Santos  Castro";"118168028";"23.406.711.5-86";151
580;"Bernardo  Azevedo  Brasil";"693859074";"02.317.078.7-25";146
581;"Marcela Almeida  Magalhães ";"635710553";"53.382.565.4-87";185
582;"Valentina Sequeira  Ribeiro";"040891648";"55.072.662.0-83";33
583;"Luiza  Campos  Serra";"040446097";"83.802.875.4-06";109
584;"Laura  Ribeiro  Magalhães ";"039658726";"70.915.396.0-07";152
585;"Samuel Silva  Bahiense";"934641364";"22.712.517.5-49";106
586;"Helena  Castro  Correia";"021292267";"41.706.677.3-60";74
587;"Arthur Palmito Rodrigues";"035810451";"58.808.349.2-80";124
588;"Heloísa  Rocha  Souza";"179187454";"09.219.277.1-53";62
589;"Gael  Bahiense  Bahiense";"027060231";"84.005.976.4-48";156
590;"Aline Mesquita Pinhais";"486716764";"12.609.284.6-87";139
591;"Luiza Almeida  Magalhães ";"829699928";"08.741.682.5-86";35
592;"Sophia Kubitcheck Mesquita";"838410130";"50.758.865.8-21";5
593;"Heitor  Macedo  Serra";"555518975";"68.580.513.0-55";31
594;"Gael Rodrigues Martins";"500966472";"81.745.073.9-40";145
595;"Marcela Sequeira  Serra";"396547943";"21.567.854.8-21";55
596;"Ronaldo  Castro Arake";"770922746";"16.878.104.6-66";69
597;"Valentina  Azevedo Calado";"222923453";"70.733.984.5-74";169
598;"Luiza  Campos Almeida";"998676169";"07.505.421.3-21";192
599;"Samuel Palmito  Magalhães ";"619933099";"31.993.939.5-19";113
600;"Arthur  Serra  Rocha";"951574844";"59.395.517.2-22";5
601;"Heitor Palmito  Pedreira";"730396856";"19.718.358.2-85";10
602;"Maria Aparecido Kubitcheck";"830266750";"05.564.549.8-05";156
603;"Raquel Aparecido  Magalhães ";"960096939";"35.567.198.6-94";67
604;"João Miguel  Braga  Azevedo";"280314160";"67.026.740.7-18";22
605;"Karla  Barros  Magalhães ";"869154872";"52.579.923.9-21";76
606;"Alice Oliveira  Brasil";"546923189";"21.015.988.5-63";50
607;"Heloísa  Campos Almeida";"933289239";"78.304.873.6-57";179
608;"Viviane  Magalhães  Almeida";"856353141";"98.536.549.9-67";193
609;"Tamires Silva Aparecido";"085048781";"21.161.173.6-28";73
610;"Marcela Sequeira  Correia";"041338805";"87.310.538.8-42";198
611;"Marcelo  Barros  Braga";"058833657";"59.595.906.4-94";100
612;"Gabriela  Pedreira  Cardoso";"229569788";"84.691.192.8-39";65
613;"Aline  Ribeiro  Costa";"970275358";"62.245.404.0-73";35
614;"Heloísa Almeida  Pedreira";"168155230";"39.288.342.1-48";150
615;"Theo Almeida Pinhais";"158792925";"31.553.140.7-42";10
616;"Luiza Martins  Campos";"209916460";"79.996.559.0-40";27
617;"Samuel  Serra Kubitcheck";"836520230";"50.054.781.4-80";118
618;"Maria Julia  Guimarães  Pinhais";"380077116";"39.511.056.2-55";112
619;"Maria  Azevedo  Bahiense";"205559285";"89.753.660.1-09";144
620;"Bernardo  Campos  Queirós";"479570263";"49.629.836.4-28";187
621;"Maria Cecília  Braga  Correia";"913560286";"68.962.195.6-26";178
622;"Laura Mesquita  Rocha";"675521047";"91.733.776.3-79";110
623;"Bernardo  Queirós  Magalhães ";"739104639";"24.837.601.4-66";123
624;"Marcela  Cardoso  Macedo";"544254061";"83.280.217.2-53";183
625;"João Miguel dos Santos Palmito";"750350165";"30.694.927.1-77";144
626;"Alice Pinhais Mesquita";"006454042";"53.645.196.9-05";16
627;"Samuel Aparecido  Cardoso";"897326978";"32.519.980.2-66";82
628;"Raquel Pinhais  Fontes ";"223073911";"21.571.938.5-70";132
629;"Viviane Sequeira Almeida";"103389434";"16.102.150.3-00";91
630;"Bernardo  Braga  Costa";"894852772";"43.865.118.4-05";192
631;"Valentina Sequeira  Azevedo";"461563703";"73.252.445.9-61";80
632;"Raquel  Braga Mesquita";"838532272";"76.373.120.5-36";37
633;"Thiago Palmito  Serra";"229507705";"07.858.414.8-70";94
634;"Heloísa Kubitcheck Calado";"528675750";"00.709.286.3-12";141
635;"Maria Julia Oliveira  Castro";"480629824";"99.182.135.1-85";141
636;"Luiza  Souza  Campos";"495318143";"21.264.817.1-39";107
637;"Viviane  Guimarães  Palmito";"105597914";"21.869.381.1-05";27
638;"Heloísa Sequeira Mesquita";"652432251";"67.309.987.6-76";25
639;"Vanessa  Campos  Barros";"668747016";"46.567.910.0-64";58
640;"Gabriela Arake  Ribeiro";"941689452";"44.003.320.4-89";179
641;"Maria Clara  Bahiense  Costa";"435285304";"94.031.866.6-60";30
642;"Davi Almeida  Cardoso";"158534766";"61.378.254.5-17";121
643;"Laura  Rocha  Rocha";"449250719";"82.837.377.1-61";57
644;"Bernardo Kubitcheck  Campos";"845480359";"68.514.989.8-04";136
645;"Theo  Siqueira Calado";"206261679";"23.375.109.6-84";68
646;"Luiza dos Santos  Macedo";"547781202";"26.263.113.6-84";80
647;"Karla  Siqueira Rodrigues";"591538315";"63.634.192.2-63";188
648;"Raquel  Queirós  Matos";"247079760";"36.005.483.8-25";81
649;"Aline  Correia  Braga";"937913381";"60.761.317.7-56";158
650;"Maria Cecília  Bahiense Almeida";"197254245";"75.993.144.0-73";164
651;"Viviane  Teixeira  Bahiense";"961293045";"68.848.989.2-58";27
652;"João Miguel Calado  Rocha";"802837726";"60.461.583.0-86";82
653;"Maria Clara dos Santos  Cardoso";"645723246";"26.383.737.7-33";34
654;"Aline  Ribeiro Rodrigues";"712422847";"71.903.054.6-26";58
655;"Davi  Pedreira  Correia";"810196315";"71.355.901.2-32";31
656;"Valentina  Costa Pinhais";"272855823";"36.065.224.5-33";175
657;"Ronaldo Kubitcheck Martins";"337090087";"26.782.066.5-28";188
658;"Arthur Oliveira Kubitcheck";"539416684";"86.303.331.1-21";192
659;"Heloísa  Teixeira  Rocha";"603172631";"28.723.005.6-29";158
660;"Heloísa Arake  Bahiense";"314562368";"76.719.927.6-18";34
661;"Davi Oliveira  Rocha";"916527062";"12.232.497.7-46";195
662;"Marcelo  Rocha  Azevedo";"799286758";"44.094.210.7-73";122
663;"Helena  Matos  Rocha";"365238754";"43.062.425.9-55";143
664;"Viviane  Souza  Serra";"959263676";"20.287.917.4-38";52
665;"Maria Cecília  Brasil Almeida";"150878878";"41.414.470.7-48";47
666;"Maria Clara  Fontes   Guimarães ";"932233049";"34.002.526.2-24";2
667;"Helena  Ribeiro  Bahiense";"992829106";"23.399.128.3-29";197
668;"Gabriela Rodrigues  Brasil";"758872363";"76.892.753.2-85";181
669;"Bernardo Kubitcheck Almeida";"891950518";"25.642.758.1-21";131
670;"Arthur  Serra  Campos";"029832689";"27.997.881.0-36";59
671;"Marcela  Guimarães  Kubitcheck";"274757336";"77.003.550.9-29";116
672;"Helena Silva Oliveira";"977272151";"50.579.306.1-60";127
673;"João Miguel  Macedo  Campos";"780598722";"54.135.938.6-39";189
674;"Viviane  Cardoso Calado";"763198643";"89.612.591.9-50";7
675;"Luiza  Barros  Costa";"325644397";"51.731.909.2-85";104
676;"Eduardo Pinhais  Matos";"909264590";"59.104.535.8-74";25
677;"Aline  Brasil  Castro";"399248426";"37.629.171.5-68";21
678;"Helena  Magalhães   Guimarães ";"328318469";"45.354.135.9-21";187
679;"Guilherme  Ribeiro  Matos";"615955807";"00.276.946.0-49";58
680;"Valentina  Queirós  Costa";"955499147";"19.319.768.6-92";191
681;"Tamires  Fontes  Rodrigues";"505157105";"21.580.604.5-38";125
682;"Ronaldo Rodrigues  Queirós";"497918929";"66.908.933.5-14";36
683;"Guilherme  Teixeira  Magalhães ";"278197455";"92.394.600.8-14";33
684;"Maria Alice Arake  Ribeiro";"421314382";"42.386.720.4-83";163
685;"João Miguel  Brasil  Campos";"870916729";"57.304.405.4-60";26
686;"Lucas Arake Rodrigues";"003443900";"37.983.249.8-99";196
687;"Thiago  Campos  Pedreira";"307527125";"56.964.457.3-91";134
688;"Lucas  Barros  Teixeira";"876928983";"16.020.869.2-04";78
689;"Aline Sequeira Calado";"139904426";"93.553.972.8-53";24
690;"Raquel  Bahiense Pinhais";"079531766";"97.702.417.1-17";191
691;"Maria  Macedo  Ribeiro";"300768677";"51.049.591.5-61";144
692;"Alice  Braga  Correia";"063000929";"44.420.769.7-79";33
693;"Valentina dos Santos  Braga";"863202751";"91.030.633.0-52";61
694;"Bernardo dos Santos  Cardoso";"015247497";"58.892.464.1-11";95
695;"Laura  Brasil  Azevedo";"779555476";"71.500.101.1-11";190
696;"Maria Julia  Siqueira  Magalhães ";"561642925";"26.920.749.2-62";19
697;"José Oliveira  Brasil";"155762896";"31.518.539.8-82";124
698;"Valentina  Brasil Calado";"342690991";"14.876.289.0-19";126
699;"Miguel  Campos  Siqueira";"872656087";"33.497.799.9-55";25
700;"Gabriel Arake  Campos";"522532217";"38.561.797.9-99";187
701;"Arthur  Guimarães   Cardoso";"293338401";"72.172.087.0-75";70
702;"Samuel Silva  Magalhães ";"546172726";"45.472.523.8-74";78
703;"Karla  Azevedo Oliveira";"982384446";"56.227.179.1-45";141
704;"João Miguel  Matos  Ribeiro";"266320564";"41.228.483.7-81";44
705;"Eduardo  Pedreira  Teixeira";"172603287";"66.730.558.4-28";96
706;"Sophia Pinhais  Macedo";"054051732";"37.084.701.9-08";12
707;"Ana  Fontes  Aparecido";"002810995";"90.572.358.7-50";145
708;"Aline  Rocha Almeida";"491885969";"18.746.895.2-72";8
709;"Marcela Almeida  Ribeiro";"658034054";"29.739.723.4-66";25
710;"Guilherme  Siqueira Arake";"143498571";"93.236.380.3-70";178
711;"Maria Cecília Oliveira  Cardoso";"506093324";"97.918.412.8-83";150
712;"Valentina  Serra Silva";"731441523";"56.578.279.6-22";68
713;"João Miguel Calado  Souza";"361308901";"24.029.703.3-09";61
714;"Maria  Siqueira  Braga";"972935082";"74.683.307.8-89";97
715;"Lucas  Siqueira Sequeira";"145879717";"77.893.658.3-28";11
716;"Gabriel  Serra  Barros";"110971246";"31.719.577.0-00";65
717;"Luiza  Pedreira Rodrigues";"469696920";"99.597.824.3-26";59
718;"Theo Arake  Guimarães ";"687464189";"71.336.767.8-88";132
719;"Marcela  Magalhães  Almeida";"571372855";"09.224.653.2-56";12
720;"Arthur Pinhais Palmito";"379628808";"58.579.517.0-15";43
721;"Maria Clara  Braga Calado";"542235817";"92.367.381.4-14";71
722;"Aline  Magalhães   Queirós";"997974129";"38.111.459.6-99";15
723;"José  Costa  Cardoso";"789266245";"53.645.793.3-29";41
724;"Ronaldo Calado Silva";"368858424";"79.566.268.1-49";101
725;"Viviane Rodrigues  Azevedo";"700626753";"58.867.037.7-02";89
726;"Miguel  Castro Aparecido";"764576310";"59.984.670.1-05";163
727;"Viviane  Serra  Castro";"136637344";"64.880.084.7-87";27
728;"Eduardo  Siqueira Pinhais";"747600585";"29.694.862.6-97";63
729;"Sophia Palmito  Correia";"131084313";"35.522.939.7-11";123
730;"Laura  Barros  Ribeiro";"896281881";"92.145.969.6-41";115
731;"Eduardo  Azevedo Oliveira";"311572728";"23.686.354.4-77";165
732;"Heloísa  Matos  Azevedo";"822302852";"66.502.601.3-50";71
733;"Ronaldo  Teixeira  Siqueira";"699047320";"36.147.180.8-95";2
734;"Heloísa  Brasil Almeida";"124999808";"84.865.812.7-41";128
735;"Theo  Rocha  Cardoso";"379845717";"84.261.761.9-96";189
736;"Laura  Macedo  Macedo";"600931623";"84.456.383.1-49";110
737;"Bernardo  Cardoso  Braga";"972161416";"10.790.179.0-49";159
738;"Guilherme Silva  Castro";"504772157";"78.095.388.2-87";100
739;"Karla Mesquita Aparecido";"312781306";"84.902.196.7-77";65
740;"Maria Clara Mesquita  Castro";"677726183";"21.360.035.1-64";141
741;"Vanessa dos Santos  Pedreira";"222734401";"82.310.893.2-43";194
742;"Heitor Aparecido  Siqueira";"360430599";"85.075.085.8-91";147
743;"Helena  Ribeiro  Queirós";"644133500";"77.136.293.1-41";51
744;"Ana  Guimarães   Castro";"310050258";"07.603.494.8-21";21
745;"Ronaldo  Pedreira  Pedreira";"923690616";"58.680.619.3-67";157
746;"Alice  Rocha  Souza";"131127246";"92.582.031.2-50";142
747;"Heloísa  Bahiense  Rocha";"066780486";"58.935.883.9-18";133
748;"Alice Pinhais  Queirós";"958624169";"86.010.987.0-76";129
749;"Marcela Rodrigues Calado";"168396440";"71.411.848.2-15";68
750;"José Martins  Azevedo";"911513657";"84.811.530.6-47";66
751;"Valentina Mesquita  Azevedo";"345735439";"30.653.752.9-89";69
752;"Helena Mesquita  Azevedo";"920190561";"48.267.379.9-53";71
753;"Heitor  Costa  Ribeiro";"921357299";"55.243.080.2-29";105
754;"Thiago Mesquita Calado";"134089817";"80.299.249.9-42";6
755;"Heloísa  Queirós Mesquita";"396647164";"97.143.135.7-58";181
756;"Maria Mesquita  Bahiense";"126857195";"35.804.694.9-20";25
757;"Aline Mesquita Aparecido";"684142435";"71.146.254.7-99";150
758;"José  Teixeira Rodrigues";"368114299";"32.356.191.5-20";168
759;"Maria Clara  Barros Pinhais";"856510618";"10.552.951.1-67";184
760;"Sophia  Castro  Azevedo";"575273539";"19.763.703.4-99";25
761;"Valentina  Brasil Rodrigues";"154129745";"20.884.415.7-77";120
762;"Vanessa Arake Calado";"178778854";"30.486.414.9-66";64
763;"Viviane  Rocha Silva";"142045768";"66.107.135.0-83";127
764;"Tamires Pinhais  Brasil";"158344746";"89.344.897.7-85";165
765;"Ana  Fontes   Serra";"823239233";"67.125.333.0-54";14
766;"Heitor Arake Almeida";"136648655";"74.871.931.7-81";91
767;"Maria Clara  Queirós  Castro";"066388160";"79.758.268.3-01";17
768;"Heloísa  Correia  Bahiense";"264739916";"16.723.012.5-71";132
769;"Samuel  Guimarães   Brasil";"946883568";"28.751.189.2-44";118
770;"Karla dos Santos  Queirós";"735969972";"38.508.179.6-19";114
771;"Helena Arake Mesquita";"236002694";"69.957.061.0-39";65
772;"Laura  Brasil  Brasil";"189313501";"15.676.393.0-69";37
773;"Heitor  Serra  Pedreira";"228164886";"93.781.986.7-38";93
774;"Bernardo  Bahiense  Magalhães ";"693204303";"47.828.706.9-98";196
